algorithm,n_threads,n_elems,t_random,t_distribute,t_merge,t_sort,t_writeback,t_total,sorted
bs2,48,50000,0.001026,0.000309,0.000000,0.000079,0.000336,0.000864,1
bs2,1,100000,0.000912,0.003769,0.000000,0.001877,0.001157,0.007345,1
bs2,2,100000,0.000484,0.002605,0.000000,0.000957,0.000763,0.004606,1
bs2,3,100000,0.000377,0.001997,0.000000,0.000647,0.000643,0.003486,1
bs2,4,100000,0.000330,0.001604,0.000000,0.000496,0.000581,0.002845,1
bs2,6,100000,0.000307,0.001215,0.000000,0.000358,0.000532,0.002232,1
bs2,8,100000,0.000312,0.000966,0.000000,0.000281,0.000492,0.001848,1
bs2,10,100000,0.000328,0.000813,0.000000,0.000235,0.000480,0.001623,1
bs2,12,100000,0.000341,0.000699,0.000000,0.000209,0.000449,0.001452,1
bs2,16,100000,0.000434,0.000567,0.000000,0.000162,0.000447,0.001266,1
bs2,20,100000,0.000510,0.000493,0.000000,0.000136,0.000461,0.001181,1
bs2,24,100000,0.000590,0.000440,0.000000,0.000129,0.000440,0.001106,1
bs2,32,100000,0.000786,0.000734,0.000000,0.000145,0.000564,0.001586,1
bs2,48,100000,0.001142,0.000611,0.000000,0.000172,0.000686,0.001631,1
bs2,1,150000,0.001244,0.007486,0.000000,0.002914,0.001785,0.012933,1
bs2,2,150000,0.000703,0.004063,0.000000,0.001463,0.001171,0.007094,1
bs2,3,150000,0.000513,0.002936,0.000000,0.001001,0.000979,0.005202,1
bs2,4,150000,0.000459,0.002344,0.000000,0.000774,0.000882,0.004232,1
bs2,6,150000,0.000393,0.001742,0.000000,0.000519,0.000801,0.003241,1
bs2,8,150000,0.000389,0.001366,0.000000,0.000400,0.000729,0.002644,1
bs2,10,150000,0.000406,0.001146,0.000000,0.000343,0.000680,0.002303,1
bs2,12,150000,0.000398,0.000989,0.000000,0.000287,0.000691,0.002098,1
bs2,16,150000,0.000470,0.000775,0.000000,0.000231,0.000672,0.001805,1
bs2,20,150000,0.000566,0.000661,0.000000,0.000194,0.000670,0.001657,1
bs2,24,150000,0.000639,0.000604,0.000000,0.000170,0.000632,0.001534,1
bs2,32,150000,0.000813,0.000931,0.000000,0.000208,0.000791,0.002104,1
bs2,48,150000,0.001273,0.000835,0.000000,0.000245,0.000968,0.002267,1
bs2,1,200000,0.001692,0.010596,0.000000,0.003911,0.002494,0.018017,1
bs2,2,200000,0.000924,0.006003,0.000000,0.002023,0.001679,0.010263,1
bs2,3,200000,0.000674,0.004330,0.000000,0.001369,0.001441,0.007523,1
bs2,4,200000,0.000570,0.003053,0.000000,0.001033,0.001291,0.005686,1
bs2,6,200000,0.000473,0.002509,0.000000,0.000699,0.001167,0.004611,1
bs2,8,200000,0.000445,0.001775,0.000000,0.000544,0.001078,0.003601,1
bs2,10,200000,0.000453,0.001622,0.000000,0.000444,0.001061,0.003309,1
bs2,12,200000,0.000468,0.001383,0.000000,0.000399,0.001016,0.002953,1
bs2,16,200000,0.000786,0.001106,0.000000,0.000297,0.000956,0.002515,1
bs2,20,200000,0.000570,0.000925,0.000000,0.000251,0.000914,0.002255,1
bs2,24,200000,0.001049,0.000802,0.000000,0.000215,0.000864,0.002035,1
bs2,32,200000,0.000849,0.001301,0.000000,0.000503,0.000999,0.002994,1
bs2,48,200000,0.001314,0.001074,0.000000,0.000335,0.001316,0.002984,1
bs2,1,250000,0.002125,0.013071,0.000000,0.005111,0.003235,0.022703,1
bs2,2,250000,0.001150,0.007552,0.000000,0.002708,0.002203,0.013147,1
bs2,3,250000,0.000825,0.005443,0.000000,0.001784,0.001892,0.009612,1
bs2,4,250000,0.000682,0.004211,0.000000,0.001360,0.001728,0.007689,1
bs2,6,250000,0.000548,0.003041,0.000000,0.000918,0.001533,0.005778,1
bs2,8,250000,0.000512,0.002397,0.000000,0.000691,0.001444,0.004772,1
bs2,10,250000,0.000478,0.001957,0.000000,0.000567,0.001407,0.004137,1
bs2,12,250000,0.000493,0.001698,0.000000,0.000479,0.001393,0.003760,1
bs2,16,250000,0.000575,0.001340,0.000000,0.000372,0.001346,0.003243,1
bs2,20,250000,0.000629,0.001230,0.000000,0.000310,0.001356,0.003082,1
bs2,24,250000,0.000673,0.000955,0.000000,0.000267,0.001290,0.002672,1
bs2,32,250000,0.000902,0.001474,0.000000,0.000356,0.001278,0.003368,1
bs2,48,250000,0.001241,0.001215,0.000000,0.000435,0.001583,0.003479,1
bs2,1,300000,0.002565,0.018654,0.000000,0.006430,0.003978,0.030587,1
bs2,2,300000,0.001382,0.009082,0.000000,0.003314,0.002716,0.015939,1
bs2,3,300000,0.000987,0.007230,0.000000,0.002241,0.002389,0.012451,1
bs2,4,300000,0.000790,0.005651,0.000000,0.001713,0.002156,0.009980,1
bs2,6,300000,0.000617,0.003584,0.000000,0.001142,0.001879,0.006945,1
bs2,8,300000,0.000542,0.002811,0.000000,0.000862,0.001837,0.005784,1
bs2,10,300000,0.000814,0.002540,0.000000,0.000701,0.001824,0.005326,1
bs2,12,300000,0.000533,0.001951,0.000000,0.000595,0.001795,0.004564,1
bs2,16,300000,0.000571,0.001548,0.000000,0.000462,0.001767,0.003966,1
bs2,20,300000,0.000635,0.001389,0.000000,0.000392,0.001756,0.003746,1
bs2,24,300000,0.000709,0.001194,0.000000,0.000347,0.001746,0.003490,1
bs2,32,300000,0.001399,0.001854,0.000000,0.000463,0.002046,0.004665,1
bs2,48,300000,0.001328,0.001406,0.000000,0.000560,0.001962,0.004223,1
bs2,1,350000,0.002753,0.022073,0.000000,0.007802,0.004723,0.036380,1
bs2,2,350000,0.001601,0.011810,0.000000,0.004070,0.002885,0.019735,1
bs2,3,350000,0.001193,0.008431,0.000000,0.002748,0.002865,0.014722,1
bs2,4,350000,0.000913,0.006442,0.000000,0.002068,0.002530,0.011569,1
bs2,6,350000,0.000704,0.004605,0.000000,0.001380,0.001856,0.008242,1
bs2,8,350000,0.000612,0.003537,0.000000,0.001048,0.001751,0.006664,1
bs2,10,350000,0.000568,0.002894,0.000000,0.000831,0.001677,0.005677,1
bs2,12,350000,0.000575,0.002444,0.000000,0.000718,0.002150,0.005579,1
bs2,16,350000,0.000597,0.001910,0.000000,0.000545,0.002166,0.004869,1
bs2,20,350000,0.000653,0.001580,0.000000,0.000469,0.002186,0.004470,1
bs2,24,350000,0.000720,0.001361,0.000000,0.000445,0.001743,0.003755,1
bs2,32,350000,0.000953,0.002029,0.000000,0.000557,0.001630,0.004489,1
bs2,48,350000,0.001421,0.001638,0.000000,0.000654,0.002303,0.004954,1
bs2,1,400000,0.003119,0.028331,0.000000,0.009206,0.005170,0.044766,1
bs2,2,400000,0.001804,0.015194,0.000000,0.004783,0.003368,0.024441,1
bs2,3,400000,0.001285,0.009493,0.000000,0.003239,0.003332,0.016842,1
bs2,4,400000,0.001010,0.008242,0.000000,0.002483,0.002563,0.013905,1
bs2,6,400000,0.000784,0.005186,0.000000,0.001629,0.002642,0.009902,1
bs2,8,400000,0.000858,0.004464,0.000000,0.001269,0.002148,0.008264,1
bs2,10,400000,0.000836,0.003537,0.000000,0.000980,0.002031,0.006885,1
bs2,12,400000,0.000875,0.002998,0.000000,0.000843,0.002006,0.006148,1
bs2,16,400000,0.000630,0.002147,0.000000,0.000657,0.002520,0.005595,1
bs2,20,400000,0.000680,0.001771,0.000000,0.000581,0.002589,0.005177,1
bs2,24,400000,0.001099,0.001632,0.000000,0.000543,0.002187,0.004634,1
bs2,32,400000,0.001309,0.002472,0.000000,0.000665,0.002163,0.005591,1
bs2,48,400000,0.001394,0.001864,0.000000,0.000779,0.002654,0.005696,1
